rating,content,date,weekday,vector
5.0,"리뷰같은 걸 잘 안쓰는 편이지만,
여기는 꼭 써야겠다 싶어서 한번 써봅니다😁

방송이나 인터넷을 무조건 신뢰하고 그러질 않는데,
생각이 바꼈답니다 ㅋ 맛은 말할 필요가 없이 맛있었습니다 ㅋ
앞으로 다른 카츠류를 먹지 못할지도 모를정도입니다😅
카레도 마찬가지였고요🤣

제주도 여행 계획중이신분들, 웨이팅이 길어서 솔직히 힘드시겠지만, 한번 방문해보시는 걸 권해드립니다😁

맛있게 잘 먹었습니다😁",2024-06-08,5,"[0.0549, -0.0098, -0.0083, 0.1506, -0.2013, -0.2943, 0.3512, 0.6399, -0.4884, -0.0501, -0.1102, -0.2655, 0.1276, 0.2291, -0.2602, 0.1000, 0.2188, 0.0423, -0.3321, -0.2859, 0.1161, 0.2856, 0.4994, -0.1880, 0.1443, 0.1794, -0.3622, -0.1000, -0.2736, 0.0701, 0.1894, -0.0369, -0.0556, 0.1399, -0.1553, 0.2980, 0.0496, -0.0046, -0.0206, -0.2937, 0.2076, -0.1624, -0.1388, 0.0418, 0.6679, 0.0657, -0.0719, -0.3203, 0.2904, 0.0893]"
5.0,"<웨이팅 1번의 찐후기를 알려드립니다>
제주 스무번 넘게 온 사람입니다.
저에게 연돈은 닿을듯 닿지 못하는 곳이었어요.
몇년전 어플로 예약할때 몇번 광탈하고 포기했죠.
하지만 연돈을 먹지 못한다면 먹보로서의 자존감이 낮아질것 같았어요. 🥹

제주 지인은 오후에 가면 웨이팅 없이 먹을 수 있어 그렇게 하자..

근데 언니.. 그럼 치즈까스가 없잖아?!!!😱

겨울 웨이팅 준비물 : 캠핑의자, 핫팩, 보조배터리, 무릎담요 (위아래 내복입기, 털모자 굿, 장갑)
참! 블로그보면 캠핑의자 다이소나 낚시의자 정도로 추천하시는데 찐캠핑의자가 버티기 좋아요. 정말 편히 앉아서 저 하나도 안힘들었어요.

1️⃣ 새벽 6:50분 연돈 도착 / 앞에 한팀 있었음
그러다 앞에 계신 분들이 차로 들어가셨음 (열팀 줄서면 그때 나오자고 하심) 그래서 내가 1번됨 갸갸갸갸갸

2️⃣기다림 : 넷플도 보고 유튭도 보고 게임도 하고 자기반성도 하고 인생계획도 세우고 나 개열받게 한 동료도 생각하고... (친구나 가족 같이오면 대화할거 같죠? 다들 조용히 ㅋㅋ 한명만 희생하세요)

3️⃣ 9:55분에 직원분 들어가시고 10시에 딱 웨이팅대(?)에 태블릿 두대 올려두시고 오픈 / 두대라 두명씩 가능 그래서 저는 1,3번을 받았어요. 2번은 제 뒤에 분이 ㅋㅋ
(저는 5명이서 먹을거라 번호 두개로 나누어 줄서요^^)

4️⃣ 주차장은 웨이팅 끝나면 한가해져요. 지금 1월은 연돈 주차장 무료입니다. 웨이팅 끝나고 중문쪽 가서 전기차 충전함 / 거기 스벅, 맥도널드 있으니 거기서 대기하셔도 좋을듯 해요.

5️⃣ 12시 정시 연돈 입장 (처음에는 5-8팀민 입장 / 아무래도 주문 후 만드는 시간 있으니 처음부터 홀이 꽉차게 안하더라구요

6️⃣치즈까스2, 안심2, 카레2(음료2 주문)
골목식당부터 연돈의 스토리를 아는 저는 의미가 있는 식사였고 돈까스 좋아하는 어린이 3명은 그냥 엄마가 가자고 하니 왔잖아요?

어린이 후기1: 집에서 배민으로 시키는 돈까스랑 비슷해요
어린이후기2: 맛있지만 엄마가 막 새벽부터 기다릴 정도는 아닌데요?
어린이후기3: 치즈에서 우유맛이 나요!

카레도 특별한건 없습니다. 약간 짰고.. 고형 카레로 만든 평범한 맛입니다. [수제 돈까스&카레 연돈]인데 카레를 왜 넣으셨을까?

^^ 전 제 후기보다 아이들 후기가 더 정확하다고 생각들었어요.

다시 안온다 이런건 절대 아니고!
훌륭한 돈까스는 맞아요.

연돈은 제주의 하나의 여행 문화가 되었다고 생각해요. 그래서 다른 멤버들과 온다면 또 제가 희생해서 맛보여줄래요 ㅋㅋ",2025-01-19,6,"[0.0538, -0.0083, -0.0104, 0.1433, -0.1875, -0.2913, 0.3288, 0.6081, -0.4680, -0.0558, -0.1015, -0.2552, 0.1194, 0.2220, -0.2455, 0.0924, 0.2115, 0.0462, -0.3096, -0.2728, 0.1036, 0.2757, 0.4748, -0.1826, 0.1370, 0.1782, -0.3443, -0.0918, -0.2606, 0.0620, 0.1780, -0.0333, -0.0577, 0.1381, -0.1397, 0.2830, 0.0572, -0.0078, -0.0170, -0.2819, 0.2004, -0.1600, -0.1294, 0.0429, 0.6476, 0.0617, -0.0626, -0.3036, 0.2799, 0.0958]"
4.5,"07:49 도착 / 앞에 5팀 있었습니다

10:30까지는 연돈 주차장 무료, 전기차 충전하면서 웨이팅하려고 더본호텔 전기차충전소에 갔는데 3대는 충전기 꽂아두고 주차중이고 1칸은 휘발유 차량이 주차해놨더라구요.. 전기차 충전은 호텔 주차공간 부족으로 인해 어려울 것 같습니다

08:00~08:15 이 15분동안 20팀은 온 것 같아요.
그리고 계속 오는 사람들..
12시 입장 직전에 캐치테이블 보니까 186팀 대기중이었어요.

8시 이전에 오시면 앞쪽 번호 무조건 받을 것 같은데,
정말 8시 이후에 사람들이 엄청나게 몰려와요

9시50분에 웨이팅 등록 가능하게 해주시고 기계는 2대입니다
제 앞사람이 잘 못해서 제가 늦게 웨이팅 등록하러 기계를 만졌으나 먼저 등록해서 5번 받았어요

12시 5분쯤 되면, 안내말씀해주시고(한 번에 전체 입장 제한, 나눠서 입장한다는 내용)
1~7번만 먼저 입장시켜줍니다. 순서대로는 아니고, 1~7번이면 누구나 들어갈 수 있어서 먼저 가는 사람 순으로 입장해요 (그니까 웨이팅 등록할 때 한 번호 앞서겠다고 막 옆사람보다 빨리 웨이팅 등록하려고 애쓸 필요는 없음)

들어가면 알아서 원하는 자리 앉으면 되고,
테이블에 있는 태블릿으로 주문하면 돼요.

2명이서 갔고, 메뉴도 미리 정하고 갔기 때문에 바로 주문했고,
음식은 두 번째로 나왔어요.

부산에서 톤쇼우
서울에서 정돈 등등
일본식 돈카츠랑은 다르게, 딱 우리나라 돈까스인데, 그 중 최상의 맛이라고 생각하면 될 것 같아요
속은 선홍빛이 아니라 완전히 익어서 하얀 고기이고,
튀김옷은 엄청 바삭하고 단단해요. 잘못 먹으면 입천장 다 까질 것 같은데, 이빨로 아그작 씹으면 바삭한 식감이 미쳤습니다..

카레는 흔한 맛있는 카레라 굳이 안 먹어도 될 것 같았고,

치즈카츠는 너무너무 부드럽고 맛있었어요

제주도에 갔으면 한 번쯤 먹어볼만한 맛집입니다.
그냥 07:30~50쯤 도착해서 영화나 드라마 한 편 줄 서서 앉아서 보고나면 웨이팅 등록 됩니다. 그게 편한 것 같아요.

그리고 겨울에는 살벌한 바람에 날씨..
무조건 따뜻하게 입고 오시고 모자쓰고 마스크도 하세요..
11월 중순인데도 미친 추위입니다..",2024-11-20,2,"[0.0585, -0.0159, -0.0108, 0.1567, -0.1992, -0.3126, 0.3580, 0.6685, -0.4970, -0.0611, -0.1144, -0.2791, 0.1214, 0.2447, -0.2661, 0.1062, 0.2288, 0.0442, -0.3329, -0.2963, 0.1139, 0.2962, 0.5240, -0.2025, 0.1479, 0.1920, -0.3678, -0.1060, -0.2857, 0.0660, 0.1932, -0.0385, -0.0580, 0.1477, -0.1563, 0.3026, 0.0614, -0.0130, -0.0224, -0.3086, 0.2181, -0.1702, -0.1398, 0.0504, 0.7055, 0.0650, -0.0681, -0.3295, 0.2976, 0.1082]"
4.3,"아침9시30분쯤 도착해서, 현장 대기번호를 10시부터 순차적으로 시작함. 대기번호85번 배정받음. 오후 2시가 조금 지나서, 입장했음. 테이블 에서 안심돈까스와 치즈볼카츠 추가 주문 후, 직접 픽업해야 함. 물도 셀프임. 테이블 지저분해서, 직원 호출 후, 청소 부탁드림. 빵가루는 바삭한데, 음식 섭취 속도가 느린 나에겐 식은 빵가루는 다소 딱딱&거칠하게도 느껴짐. 입천장을 자꾸 찌르는 듯 한 식감이 통새우튀김 먹을 때, 새우 수염/다리/꼬리 부분 씹을 때처럼 불편함 있었음.

오늘은 빵가루 씹다가 너무 단단하고, 딱딱한 작은 알갱이가 치아조각이 떨어진 줄 착각해서 식사 도중 뱉어서 내용물 확인해 봤음.(내 행동이 cctv에 기록되었을테니, 매장 관계자는 확인해보셔도 괜찮음.ㅠㅠ)

요약한 맛 평가는,
※서울이나 동네 단골 돈까스 맛집과 비슷해서 큰 차이는 못 느낌.※

야채는 양배추 샐러드만 곁들어짐. 리필 가능한지 몰라서, 그냥 먹음. 밥은 심하게 꼬들밥이고, 쉽게 마른 듯한 느낌임. (나는 개인적으로, 꼬들밥 좋아하지 않음.)

단무지/장국은 괜찮음.
카레는 사이드 기본 메뉴에 포함되어 있지 않음.
돈까스 양 많지 않음.(적은 편.)

※다른 방문 후기 중, 깍두기 김치 맛이 형편없다는 평가를 읽고 방문했는데..정말 실망스러운 맛임.※

(내 삶에서 이렇게 맛없는 깍두기는 옛날 학교 급식이나 휴게소에서 제공되는 김치 맛.. 최악의 깍두기 맛임. 흡사, 내가 첫 깍두기 김치 담갔다가 망쳐버렸던 그 때 맛과 흡사했음. 맛은 짜고, 무의 썰기 정도도 제각각 크기도 엉망, 대충 성의없이 썰어서 만든 납품 업체의 맛없은 맛에, 개인적으로 많이 충격받음.)

아무리 깍두기가 사이드 디쉬이긴 해도, 밥심으로 맛을 보충해줘야 할 한국인에게는 고개가 절레절레 가로짓게 하는 맛임. (참고_우리 엄마가 김치를 잘 담궈서, 어려서부터 한번도 이런 맛없는 먹어본 기억이 거의 없어서일지도..깍두기 맛은 실망스러움.)

제주 여행중인 외국인들에게는 처음 맛보게 되는 음식인 한국 김치가 이렇게 원래 맛없는 것이구나..라고 고정관념이 생길까봐 염려스러운 맛임.

한국의 자랑스런 김치(깍두기)의 맛에 대한 실망감으로 기억될까봐 걱정될 정도임. 그 누구에게도 비추천하고픈 한국의 최악의 김치 맛임.ㅠㅠ

※식사 후, 매장 나올 때 깍두기를 직접 담궈서 고객에게 제공되는지 궁금해서 직원에게 문의하니..납품받는 깍두기라고 함.※
아무래도, 납품업체를 바꾸시든지..차라리 고객에게 제공하지 말든지..한번쯤 고민해보시길 부탁드림.

만약, 내가 다음에도 연돈을 재방문할까..?
생각해보니, 굳이 밥과 깍두기가 실망스러운데..4시간 넘게 대기시간을 감수하면서, 다른 좋은 먹거리가 많은 제주여행을 포기하면서, 시간투자를 하기엔..내가 서울이나 동네 맛집에서도 얼마든지 대체가능한 맛!! 딱 그만큼의 맛 경험이였음.

골목식당 시청하면서, 진심으로 응원하던 《연돈》 시청자로서, 1번의 맛 경험으로 충분했다고 생각하려고 함.(총 3번 제주 방문 후, 오늘이 첫 매장 방문 성공후기임. )

나홀로 힐링여행으로 택한 제주도인데, 《연돈》 매장은 그래도 항상~응원하겠음~!^^",2025-02-19,2,"[0.0498, -0.0120, -0.0086, 0.1439, -0.1807, -0.2726, 0.3137, 0.5913, -0.4433, -0.0494, -0.0935, -0.2446, 0.1170, 0.2175, -0.2387, 0.0865, 0.2065, 0.0458, -0.2971, -0.2594, 0.1029, 0.2611, 0.4615, -0.1800, 0.1389, 0.1693, -0.3370, -0.0881, -0.2542, 0.0601, 0.1711, -0.0350, -0.0580, 0.1342, -0.1366, 0.2670, 0.0562, -0.0082, -0.0144, -0.2750, 0.1923, -0.1545, -0.1213, 0.0380, 0.6268, 0.0632, -0.0614, -0.2919, 0.2709, 0.0915]"
5.0,"주말도 아니라 여유 있겠지 싶었어서 8시 50분 도착하니.. 벌써 줄은 길더라고요.. 원래도 돈까스를 즐겨먹지 않아서 기대는 낮았고, 입병 때문에 부드러운 음식만 먹다가 남자친구가 연돈 노래를 불러서 같이 먹은건데 어째서 돈까스를 먹었는데 입천장 한 번을 안 찔린 건지 아직도 의문입니다.. 분명 바삭한데 부드러웠어요..! 여기서 좀 감동.. 튀김옷만 따로 먹었을 때 쿠키 맛이 나는 것 같았어요ㅠㅠ 기다리는 동안 기대치가 낮아졌지만 먹고 나니 생각이 아예 바뀌더라구요!! 또 치즈는 왜 20분 정도 지났는데도 늘어나는 건지.. 의문 투성이였습니다.. 사장님이 마법사가 아닌지...",2024-12-13,4,"[0.0504, -0.0084, -0.0070, 0.1434, -0.1779, -0.2813, 0.3153, 0.6024, -0.4521, -0.0576, -0.0992, -0.2525, 0.1148, 0.2220, -0.2401, 0.0948, 0.2060, 0.0452, -0.2982, -0.2687, 0.1008, 0.2716, 0.4724, -0.1785, 0.1377, 0.1703, -0.3307, -0.0897, -0.2615, 0.0621, 0.1818, -0.0400, -0.0524, 0.1370, -0.1389, 0.2712, 0.0518, -0.0116, -0.0174, -0.2761, 0.1901, -0.1544, -0.1276, 0.0445, 0.6327, 0.0617, -0.0618, -0.2985, 0.2694, 0.0970]"
4.3,"첫 방문인데 기대를 하고 가도 맛있었습니다(평일 3시에 방문해서 1시간 기다렸다)

입 천장 다 까질듯한 바삭한 튀김옷인데, 기름을 잘 빼서 느끼하지 않았습니다.
그래서 그런가 고기는 부드러웠는데 금방 식는 느낌이랄까? 후반에는 좀 퍽퍽하게 느껴졌습니다.
양도 많아서 먹기 전엔 다른 테이블에서 한조각씩 남기길래 '왜 남기지?' 생각했는데 잘 먹는 저도 한 조각 남겼습니다.
(치즈카츠 품절이라 아쉽다)

카레랑 치즈볼카츠는 굳이? 안 먹어도 될 거 같습니다(가격대비 맛있는지 모르겠다)
깍두기 좀 더 맛있게 담그면 좋을 것 같다.

집 근처에 있으면 일주일에 한 번씩 갈 맛인 것 같아요. 괜히 연돈연돈 아닙니다(이 가격에 양, 퀄리티 탑급 확실하다)",2025-05-28,2,"[0.0588, -0.0203, -0.0066, 0.1577, -0.1937, -0.3040, 0.3477, 0.6593, -0.4940, -0.0595, -0.1138, -0.2730, 0.1205, 0.2368, -0.2698, 0.1099, 0.2275, 0.0513, -0.3268, -0.2950, 0.1153, 0.2957, 0.5195, -0.1948, 0.1483, 0.1882, -0.3683, -0.0995, -0.2842, 0.0631, 0.1963, -0.0445, -0.0550, 0.1483, -0.1532, 0.2948, 0.0591, -0.0132, -0.0231, -0.3067, 0.2193, -0.1724, -0.1444, 0.0456, 0.6962, 0.0647, -0.0755, -0.3318, 0.2937, 0.1002]"
5.0,꼭 재방문 하고싶고 다음에는 빨리 대기하고싶습니다 정말 났있었습니다,2024-09-15,6,"[0.0666, -0.0233, -0.0135, 0.1806, -0.2320, -0.3504, 0.3978, 0.7462, -0.5579, -0.0613, -0.1328, -0.3003, 0.1479, 0.2547, -0.2963, 0.1110, 0.2497, 0.0622, -0.3760, -0.3214, 0.1287, 0.3339, 0.5797, -0.2232, 0.1858, 0.2161, -0.4108, -0.1271, -0.3300, 0.0729, 0.2116, -0.0382, -0.0732, 0.1712, -0.1656, 0.3412, 0.0714, -0.0095, -0.0088, -0.3508, 0.2387, -0.1897, -0.1630, 0.0430, 0.7861, 0.0724, -0.0690, -0.3711, 0.3376, 0.1258]"
5.0,"제주도 첫 여행의 본스케쥴을 연돈 대기로 시작했습니다! 비수기 평일(월요일 오전 9시 20분부터 대기)이라 치즈카츠 컷/예약 대기는 어렵지 않았어요:)

본론으로 들어가자면 >기다려서까지 먹어야하나<는 다른 흑돼지 돈까스에 비교하면 1.제주도(관광지역)가성비 2.도드람한돈 사용 3.어디와도 비교 불가능한 튀김옷 4.살아있는 양배추(소스♡) 등이 강점이였습니다. 고기 육질이 부드럽고 튀김옷이 방송에서 보던 것까진 아니라도 국내에선 아직 비교할 만 한 곳이 없었네요. 주관적 평일 순 있지만 말이죠!

안심카츠가 본래는 없던 메뉴라 시켜봤습니다만 상당히 부드럽고 아이들이나 이가 좋지 않으신 분들에게는 매우 추천드리는 식감을 자랑했습니다. 치즈카츠는 정말 좋은 치즈를 쓰셔서 오, 하는 감탄사는 나왔으나 제법 식어있어 늘어나지 않았던 치즈 부분이 아쉬웠습니다.

그 다소 아쉬운 감에 나오면서 사장님이 서 계시는 볼카츠쪽으로 가서 치즈볼카츠와 연돈도시락을 구매했습니다. 바로 튀기시는 것 같아서 간 것도 있지만 연돈 사장님이 거기 서계신다면 먹어봐야지요 ㅎㅎ 어린이 입맛 기준, 둘이 먹어본 결과 치즈 볼카츠가 진짜 미쳤습니다. 겉바속촉의 정석이고 양파향이 은은하게 나는데 전혀 거북하지않아서 야채를 식감탓에 먹지 못하거나 싫어하는 아이에게도 먹일 수 있는 수준이더라구요. 친구가 야채 먹는 건 젬병인데 맛있다고 허겁지겁 해치웠습니다. 보증합니다. 제가 녹은 치즈카츠를 먹지 못해 아쉬웠음을 감안해도 따끈따끈하게 끊기지않고 쭈욱 늘어나는 치즈와 팡 터지는 육즙이...한번 드셔보셔야합니다. 정말이요. 아쉬움을 싹 지워주다못해 이거 더 사가야한다. 는 생각만 더 들었습니다. 금방 돈까스 먹고와서 더 먹는 상황인데도 불구하고! 기실, 이것 때문에 사장님이 직접 튀기는 돈카츠도 먹어보고 싶다는 욕심도 생겼습니다. 물론 전수해주시는 제자분들도 노력하시겠지만 연록이 쌓여 꾸준함이 만들어낸 손길은 그것과는 다르니까요ㅠ

제가 프랜차이즈는 안가봤는데 볼카츠연돈본점 가시면 꼭 ★★★사장님의 볼카츠를 먹어봐주세요★★★연돈 도시락은 유튜브에서 추천한 식어서 밥에 소스가 스며든 상태로, 식어서 먹게 되었는데 따끈한 튀김에 바삭한 질감이 아니라 먹기좋게 식은 상태에 튀김옷 새로 스며든 녹녹한 소스와 밥의 조화로 저녁 간식으로 챙겼습니다 ㅎㅎ 관광이라 집과는 좀 거리가 있지만 아쉬운따라 체인점을 가면서 글을 써봅니다. 번창하세요:) 제주가 따뜻해지면 또 오겠습니다.",2024-03-22,4,"[0.0504, -0.0094, -0.0092, 0.1366, -0.1750, -0.2683, 0.3029, 0.5671, -0.4296, -0.0523, -0.0972, -0.2367, 0.1075, 0.2032, -0.2291, 0.0863, 0.1972, 0.0392, -0.2867, -0.2546, 0.0989, 0.2547, 0.4422, -0.1718, 0.1269, 0.1623, -0.3179, -0.0890, -0.2423, 0.0616, 0.1649, -0.0353, -0.0513, 0.1285, -0.1309, 0.2607, 0.0486, -0.0035, -0.0144, -0.2651, 0.1856, -0.1461, -0.1194, 0.0403, 0.5993, 0.0573, -0.0599, -0.2780, 0.2581, 0.0889]"
5.0,"무조건 치즈 무조건 치즈!!! 엄청 진짜 너무 맛있었어요ㅜ
볼카츠도 시켰는데 육즙이 장난아니었어요
또 생각 날 맛입니다",2025-07-12,5,"[0.0703, 0.0059, -0.0094, 0.2132, -0.2720, -0.4164, 0.4566, 0.8415, -0.6355, -0.0962, -0.1414, -0.3593, 0.1818, 0.2834, -0.3242, 0.0992, 0.2793, 0.0359, -0.4520, -0.4012, 0.1399, 0.3798, 0.6432, -0.2698, 0.1429, 0.2094, -0.4643, -0.1265, -0.3486, 0.1139, 0.2327, -0.0535, -0.1049, 0.1808, -0.1975, 0.3950, 0.0480, 0.0115, -0.0282, -0.3873, 0.2749, -0.1978, -0.1637, 0.0894, 0.8862, 0.0717, -0.0794, -0.4115, 0.3847, 0.1444]"
4.7,"오랜 웨이팅 끝에 맛본 연돈!!
기대 이상!!",2024-12-04,2,"[0.0689, -0.0104, -0.0107, 0.1813, -0.2418, -0.3749, 0.4184, 0.7655, -0.5911, -0.0578, -0.1310, -0.3359, 0.1341, 0.2861, -0.3095, 0.1238, 0.2758, 0.0648, -0.3854, -0.3551, 0.1350, 0.3518, 0.6092, -0.2299, 0.1847, 0.2255, -0.4363, -0.1209, -0.3394, 0.0755, 0.2259, -0.0430, -0.0630, 0.1779, -0.1864, 0.3668, 0.0763, -0.0156, -0.0241, -0.3559, 0.2504, -0.1948, -0.1636, 0.0514, 0.8139, 0.0854, -0.0842, -0.3891, 0.3551, 0.1371]"
5.0,"전날 저녁엔 안심을 먹어보고 다음날은 치즈돈까스를 먹어보고싶어 오전 일찍 현장웨이팅을 했습니다.
치즈돈까스는 생각보다 특별함이 없어 재방문 한다면 안심돈까스를 먹을것같아요. 재방문의사는 매우있습니다!
먼저 돈까스 튀김 겉면이 마치 KFC 치킨마냥 바삭하고 고소하이 맛있었고, 고기도 부드럽고 맛있었습니다. 육향이 부족하다는 글도 있었는데 개인적인 생각으로 육향이 나쁘게 말한다면 잡내라고 생각하는데 오히려 향이 없는부분이 호불호가 덜 갈릴것 같았습니다.
그리고 카레...지인짜 맛있었어요 다진고기와 다진양파 건더기가 있는데 핸드메이드 카레라 그런지 너무맛있었습니다. 강황향이 살짝 올라오면서 끝엔 양파인지 과일인지 기분좋은 단맛이 올라와 만족스러웠습니다. 하지만 먹는도중 돼지고기의 뼈인지 뼈가 2조각 나왔었습니다.(이미지맨뒷장) 같이 먹은사람이 치아가 부숴지는줄 알았다고 하지만 컴플레인은 넣지않았습니다. 다음번엔 더 신경써주세용.샐러드 드레싱은 기존 돈까스집에서 나오는 유자, 흑임자, 참깨소스가 아니라 타르타르소스+ 요거트?맛 살짝 이 조합이 좋아서 소스 진짜 맛있었습니다. 다음에 또 먹으러 갈게욥ദ്ദി ( ᵔ ᗜ ᵔ )",2025-07-16,2,"[0.0409, -0.0109, -0.0083, 0.1253, -0.1658, -0.2569, 0.2814, 0.5381, -0.4097, -0.0516, -0.0924, -0.2253, 0.1065, 0.1949, -0.2185, 0.0771, 0.1912, 0.0407, -0.2734, -0.2356, 0.0910, 0.2416, 0.4229, -0.1626, 0.1185, 0.1572, -0.3006, -0.0866, -0.2295, 0.0600, 0.1561, -0.0358, -0.0478, 0.1242, -0.1246, 0.2439, 0.0464, -0.0055, -0.0170, -0.2500, 0.1768, -0.1426, -0.1114, 0.0378, 0.5674, 0.0570, -0.0549, -0.2715, 0.2482, 0.0855]"
5.0,"리뷰같은 걸 잘 안쓰는 편이지만,
여기는 꼭 써야겠다 싶어서 한번 써봅니다😁

방송이나 인터넷을 무조건 신뢰하고 그러질 않는데,
생각이 바꼈답니다 ㅋ 맛은 말할 필요가 없이 맛있었습니다 ㅋ
앞으로 다른 카츠류를 먹지 못할지도 모를정도입니다😅
카레도 마찬가지였고요🤣

제주도 여행 계획중이신분들, 웨이팅이 길어서 솔직히 힘드시겠지만, 한번 방문해보시는 걸 권해드립니다😁

맛있게 잘 먹었습니다😁",2024-06-08,5,"[0.0549, -0.0098, -0.0083, 0.1506, -0.2013, -0.2943, 0.3512, 0.6399, -0.4884, -0.0501, -0.1102, -0.2655, 0.1276, 0.2291, -0.2602, 0.1000, 0.2188, 0.0423, -0.3321, -0.2859, 0.1161, 0.2856, 0.4994, -0.1880, 0.1443, 0.1794, -0.3622, -0.1000, -0.2736, 0.0701, 0.1894, -0.0369, -0.0556, 0.1399, -0.1553, 0.2980, 0.0496, -0.0046, -0.0206, -0.2937, 0.2076, -0.1624, -0.1388, 0.0418, 0.6679, 0.0657, -0.0719, -0.3203, 0.2904, 0.0893]"
5.0,"1시 반쯤 웨이팅 걸어놓고
그 근처 선물가게랑 카페랑 주상절리 보고왔어요
(근처 토끼떡공방 가보세요 👍🏻- 전 화요일 딱 휴무라 못감 ㅠㅠ)
평일인데도 2시간 조금 안되게 기다렸네요!!
튀김옷이 진짜 빠싹했고
고기는 촉촉했습니다 부드럽구요!

제주에서 이가격 12000원에
이런 돈가스라니…
유명한데 가성비
좋으니 다들 웨이팅 할 수 있는거죠

다 먹고
빽다방연구소가서
텀블러에 아아 한잔 테아해서
나왔습니다
좋은
루트네요",2025-06-10,1,"[0.0527, -0.0081, -0.0181, 0.1532, -0.2012, -0.3053, 0.3429, 0.6429, -0.4911, -0.0582, -0.1109, -0.2651, 0.1224, 0.2373, -0.2593, 0.1000, 0.2191, 0.0432, -0.3328, -0.2889, 0.1119, 0.2936, 0.5010, -0.1964, 0.1455, 0.1863, -0.3574, -0.0999, -0.2770, 0.0732, 0.1878, -0.0379, -0.0606, 0.1474, -0.1460, 0.2926, 0.0570, -0.0061, -0.0156, -0.2972, 0.2095, -0.1681, -0.1335, 0.0422, 0.6789, 0.0693, -0.0614, -0.3253, 0.2953, 0.1013]"
5.0,"6시30분 1번째 도착
7시 되니 사람들 오기 시작
전날 다이소에서 의자 구매했어요
목요일보다 금요일 대기줄 더 길어요
10시 오픈 대기번호 1-5번입장 주문 받고 거의 다 먹으면
6-10 번 이런식으로 들어가요
한꺼번에 들어가는게 아니더라구요
자리가 남아 있어도 못들어가요
사장님은 볼카츠쪽에서 계속 튀기고 계셔요
고기 냄새 안나고 부드럽고 소스 카레 다 맛있어요",2024-08-02,4,"[0.0490, -0.0069, -0.0123, 0.1521, -0.1973, -0.3023, 0.3294, 0.6226, -0.4727, -0.0576, -0.1017, -0.2599, 0.1253, 0.2165, -0.2497, 0.0947, 0.2215, 0.0418, -0.3179, -0.2815, 0.1104, 0.2801, 0.4877, -0.1932, 0.1361, 0.1825, -0.3506, -0.0990, -0.2632, 0.0711, 0.1841, -0.0362, -0.0590, 0.1404, -0.1356, 0.2824, 0.0506, -0.0035, -0.0165, -0.2897, 0.2045, -0.1604, -0.1234, 0.0448, 0.6590, 0.0625, -0.0570, -0.3123, 0.2908, 0.0957]"
5.0,맛있어요. 이른아침부터 줄서서 먹어야하는거 빼곤 좋아요. ㅎ,2025-03-17,0,"[0.0389, -0.0006, -0.0090, 0.1025, -0.1540, -0.2344, 0.2550, 0.4801, -0.3684, -0.0500, -0.0826, -0.1993, 0.0918, 0.1775, -0.1998, 0.0814, 0.1693, 0.0402, -0.2366, -0.2292, 0.0824, 0.2201, 0.3825, -0.1473, 0.1227, 0.1466, -0.2808, -0.0641, -0.2050, 0.0572, 0.1430, -0.0289, -0.0390, 0.1133, -0.1070, 0.2272, 0.0371, 0.0029, -0.0089, -0.2385, 0.1619, -0.1273, -0.0815, 0.0371, 0.5192, 0.0542, -0.0561, -0.2312, 0.2127, 0.0778]"
5.0,예시 연돈 이유가 있네요 치즈도 엄청나고 돈까스도 짱,2025-01-06,0,"[0.0511, -0.0125, -0.0151, 0.1279, -0.1504, -0.2520, 0.2792, 0.5099, -0.3756, -0.0426, -0.0812, -0.2185, 0.0959, 0.1919, -0.2160, 0.0626, 0.1793, 0.0359, -0.2557, -0.2218, 0.0870, 0.2209, 0.4022, -0.1508, 0.1186, 0.1553, -0.2932, -0.0869, -0.2231, 0.0518, 0.1391, -0.0296, -0.0399, 0.1155, -0.1181, 0.2366, 0.0529, -0.0006, -0.0209, -0.2482, 0.1558, -0.1325, -0.1156, 0.0104, 0.5359, 0.0432, -0.0471, -0.2431, 0.2242, 0.0816]"
